COOPID, YEAR, MONTH, DAY, meanTemp
84570,1998,1,1,62.00000
84570,1998,1,2,68.50000
84570,1998,1,3,72.50000
84570,1998,1,4,74.00000
84570,1998,1,5,75.00000
84570,1998,1,6,76.00000
84570,1998,1,7,77.00000
84570,1998,1,8,76.50000
84570,1998,1,9,73.50000
84570,1998,1,10,71.00000
84570,1998,1,11,71.50000
84570,1998,1,12,73.00000
84570,1998,1,13,74.50000
84570,1998,1,14,75.50000
84570,1998,1,15,74.50000
84570,1998,1,16,70.00000
84570,1998,1,17,63.50000
84570,1998,1,18,62.50000
84570,1998,1,19,69.00000
84570,1998,1,20,71.50000
84570,1998,1,21,73.00000
84570,1998,1,22,75.00000
84570,1998,1,23,76.00000
84570,1998,1,24,72.00000
84570,1998,1,25,64.00000
84570,1998,1,26,69.50000
84570,1998,1,27,72.50000
84570,1998,1,28,66.00000
84570,1998,1,29,61.00000
84570,1998,1,30,63.50000
84570,1998,1,31,66.50000
84570,1998,2,1,69.00000
84570,1998,2,2,72.50000
84570,1998,2,3,69.00000
84570,1998,2,4,69.50000
84570,1998,2,5,64.50000
84570,1998,2,6,63.50000
84570,1998,2,7,64.00000
84570,1998,2,8,66.00000
84570,1998,2,9,63.00000
84570,1998,2,10,62.50000
84570,1998,2,11,72.00000
84570,1998,2,12,71.50000
84570,1998,2,13,70.50000
84570,1998,2,14,69.00000
84570,1998,2,15,71.50000
84570,1998,2,16,76.50000
84570,1998,2,17,78.00000
84570,1998,2,18,72.50000
84570,1998,2,19,76.50000
84570,1998,2,20,75.50000
84570,1998,2,21,73.50000
84570,1998,2,22,78.00000
84570,1998,2,23,72.50000
84570,1998,2,24,66.00000
84570,1998,2,25,64.00000
84570,1998,2,26,74.50000
84570,1998,2,27,76.50000
84570,1998,2,28,77.50000
84570,1998,2,29,-99.90000
84570,1998,3,1,74.50000
84570,1998,3,2,66.50000
84570,1998,3,3,63.00000
84570,1998,3,4,62.00000
84570,1998,3,5,68.50000
84570,1998,3,6,76.50000
84570,1998,3,7,76.50000
84570,1998,3,8,78.50000
84570,1998,3,9,72.00000
84570,1998,3,10,64.00000
84570,1998,3,11,59.50000
84570,1998,3,12,60.50000
84570,1998,3,13,62.00000
84570,1998,3,14,66.00000
84570,1998,3,15,70.00000
84570,1998,3,16,71.00000
84570,1998,3,17,74.00000
84570,1998,3,18,76.00000
84570,1998,3,19,78.00000
84570,1998,3,20,75.50000
84570,1998,3,21,70.50000
84570,1998,3,22,64.50000
84570,1998,3,23,64.00000
84570,1998,3,24,69.00000
84570,1998,3,25,72.00000
84570,1998,3,26,72.50000
84570,1998,3,27,74.50000
84570,1998,3,28,77.00000
84570,1998,3,29,75.50000
84570,1998,3,30,76.50000
84570,1998,3,31,79.00000
84570,1998,4,1,80.50000
84570,1998,4,2,79.50000
84570,1998,4,3,79.50000
84570,1998,4,4,80.00000
84570,1998,4,5,75.00000
84570,1998,4,6,72.50000
84570,1998,4,7,78.00000
84570,1998,4,8,79.50000
84570,1998,4,9,81.00000
84570,1998,4,10,74.00000
84570,1998,4,11,68.50000
84570,1998,4,12,70.00000
84570,1998,4,13,72.00000
84570,1998,4,14,75.50000
84570,1998,4,15,77.00000
84570,1998,4,16,78.00000
84570,1998,4,17,78.50000
84570,1998,4,18,79.00000
84570,1998,4,19,79.50000
84570,1998,4,20,79.00000
84570,1998,4,21,79.50000
84570,1998,4,22,74.50000
84570,1998,4,23,72.00000
84570,1998,4,24,69.00000
84570,1998,4,25,73.50000
84570,1998,4,26,76.50000
84570,1998,4,27,78.00000
84570,1998,4,28,79.00000
84570,1998,4,29,78.00000
84570,1998,4,30,78.00000
84570,1998,5,1,76.50000
84570,1998,5,2,76.50000
84570,1998,5,3,75.00000
84570,1998,5,4,79.00000
84570,1998,5,5,79.00000
84570,1998,5,6,79.50000
84570,1998,5,7,82.00000
84570,1998,5,8,82.50000
84570,1998,5,9,80.50000
84570,1998,5,10,83.00000
84570,1998,5,11,81.50000
84570,1998,5,12,78.00000
84570,1998,5,13,78.50000
84570,1998,5,14,78.50000
84570,1998,5,15,78.50000
84570,1998,5,16,78.00000
84570,1998,5,17,77.50000
84570,1998,5,18,77.00000
84570,1998,5,19,76.50000
84570,1998,5,20,79.00000
84570,1998,5,21,80.00000
84570,1998,5,22,78.50000
84570,1998,5,23,80.00000
84570,1998,5,24,82.00000
84570,1998,5,25,83.00000
84570,1998,5,26,80.50000
84570,1998,5,27,82.50000
84570,1998,5,28,82.50000
84570,1998,5,29,82.50000
84570,1998,5,30,82.00000
84570,1998,5,31,83.00000
84570,1998,6,1,82.00000
84570,1998,6,2,84.00000
84570,1998,6,3,82.50000
84570,1998,6,4,84.00000
84570,1998,6,5,87.00000
84570,1998,6,6,86.00000
84570,1998,6,7,86.50000
84570,1998,6,8,84.50000
84570,1998,6,9,86.50000
84570,1998,6,10,86.00000
84570,1998,6,11,84.50000
84570,1998,6,12,86.00000
84570,1998,6,13,84.00000
84570,1998,6,14,82.50000
84570,1998,6,15,83.50000
84570,1998,6,16,86.50000
84570,1998,6,17,86.50000
84570,1998,6,18,85.50000
84570,1998,6,19,87.00000
84570,1998,6,20,85.00000
84570,1998,6,21,86.50000
84570,1998,6,22,87.00000
84570,1998,6,23,84.50000
84570,1998,6,24,84.50000
84570,1998,6,25,87.00000
84570,1998,6,26,86.50000
84570,1998,6,27,84.00000
84570,1998,6,28,85.00000
84570,1998,6,29,85.00000
84570,1998,6,30,84.00000
84570,1998,7,1,83.50000
84570,1998,7,2,86.50000
84570,1998,7,3,87.50000
84570,1998,7,4,87.00000
84570,1998,7,5,87.00000
84570,1998,7,6,86.00000
84570,1998,7,7,88.00000
84570,1998,7,8,87.50000
84570,1998,7,9,87.50000
84570,1998,7,10,86.50000
84570,1998,7,11,87.50000
84570,1998,7,12,80.00000
84570,1998,7,13,84.00000
84570,1998,7,14,84.00000
84570,1998,7,15,84.50000
84570,1998,7,16,83.50000
84570,1998,7,17,86.50000
84570,1998,7,18,87.00000
84570,1998,7,19,87.00000
84570,1998,7,20,84.00000
84570,1998,7,21,84.00000
84570,1998,7,22,83.00000
84570,1998,7,23,86.50000
84570,1998,7,24,86.50000
84570,1998,7,25,86.50000
84570,1998,7,26,84.50000
84570,1998,7,27,86.50000
84570,1998,7,28,86.00000
84570,1998,7,29,86.50000
84570,1998,7,30,86.00000
84570,1998,7,31,87.50000
84570,1998,8,1,82.00000
84570,1998,8,2,84.50000
84570,1998,8,3,86.00000
84570,1998,8,4,85.00000
84570,1998,8,5,85.50000
84570,1998,8,6,83.50000
84570,1998,8,7,85.50000
84570,1998,8,8,85.00000
84570,1998,8,9,85.50000
84570,1998,8,10,85.50000
84570,1998,8,11,84.50000
84570,1998,8,12,86.50000
84570,1998,8,13,85.50000
84570,1998,8,14,84.00000
84570,1998,8,15,85.00000
84570,1998,8,16,85.50000
84570,1998,8,17,87.00000
84570,1998,8,18,82.00000
84570,1998,8,19,82.50000
84570,1998,8,20,85.50000
84570,1998,8,21,86.00000
84570,1998,8,22,84.00000
84570,1998,8,23,84.00000
84570,1998,8,24,84.00000
84570,1998,8,25,85.00000
84570,1998,8,26,84.50000
84570,1998,8,27,84.00000
84570,1998,8,28,85.00000
84570,1998,8,29,84.50000
84570,1998,8,30,82.50000
84570,1998,8,31,83.50000
84570,1998,9,1,86.00000
84570,1998,9,2,83.50000
84570,1998,9,3,86.00000
84570,1998,9,4,85.50000
84570,1998,9,5,84.00000
84570,1998,9,6,84.50000
84570,1998,9,7,86.00000
84570,1998,9,8,85.50000
84570,1998,9,9,83.00000
84570,1998,9,10,81.50000
84570,1998,9,11,86.00000
84570,1998,9,12,83.00000
84570,1998,9,13,83.50000
84570,1998,9,14,81.00000
84570,1998,9,15,79.00000
84570,1998,9,16,82.00000
84570,1998,9,17,84.00000
84570,1998,9,18,81.50000
84570,1998,9,19,83.00000
84570,1998,9,20,84.00000
84570,1998,9,21,84.00000
84570,1998,9,22,84.50000
84570,1998,9,23,83.00000
84570,1998,9,24,84.00000
84570,1998,9,25,-99.90000
84570,1998,9,26,-99.90000
84570,1998,9,27,-99.90000
84570,1998,9,28,-99.90000
84570,1998,9,29,83.50000
84570,1998,9,30,84.00000
84570,1998,10,1,84.00000
84570,1998,10,2,84.00000
84570,1998,10,3,84.50000
84570,1998,10,4,85.00000
84570,1998,10,5,84.00000
84570,1998,10,6,85.00000
84570,1998,10,7,84.50000
84570,1998,10,8,82.50000
84570,1998,10,9,81.50000
84570,1998,10,10,81.50000
84570,1998,10,11,81.50000
84570,1998,10,12,81.50000
84570,1998,10,13,80.50000
84570,1998,10,14,82.00000
84570,1998,10,15,82.00000
84570,1998,10,16,82.50000
84570,1998,10,17,81.00000
84570,1998,10,18,79.00000
84570,1998,10,19,81.00000
84570,1998,10,20,82.50000
84570,1998,10,21,83.00000
84570,1998,10,22,80.50000
84570,1998,10,23,77.50000
84570,1998,10,24,77.50000
84570,1998,10,25,78.50000
84570,1998,10,26,79.00000
84570,1998,10,27,78.50000
84570,1998,10,28,78.50000
84570,1998,10,29,78.50000
84570,1998,10,30,77.00000
84570,1998,10,31,75.50000
84570,1998,11,1,74.00000
84570,1998,11,2,79.50000
84570,1998,11,3,81.00000
84570,1998,11,4,77.00000
84570,1998,11,5,76.00000
84570,1998,11,6,70.00000
84570,1998,11,7,73.00000
84570,1998,11,8,75.50000
84570,1998,11,9,75.50000
84570,1998,11,10,78.50000
84570,1998,11,11,78.00000
84570,1998,11,12,76.50000
84570,1998,11,13,77.00000
84570,1998,11,14,77.00000
84570,1998,11,15,76.50000
84570,1998,11,16,77.50000
84570,1998,11,17,78.50000
84570,1998,11,18,79.50000
84570,1998,11,19,80.50000
84570,1998,11,20,80.50000
84570,1998,11,21,80.00000
84570,1998,11,22,80.00000
84570,1998,11,23,79.50000
84570,1998,11,24,78.00000
84570,1998,11,25,75.00000
84570,1998,11,26,77.50000
84570,1998,11,27,77.50000
84570,1998,11,28,76.50000
84570,1998,11,29,76.00000
84570,1998,11,30,76.50000
84570,1998,12,1,77.00000
84570,1998,12,2,77.50000
84570,1998,12,3,76.00000
84570,1998,12,4,77.00000
84570,1998,12,5,78.00000
84570,1998,12,6,77.50000
84570,1998,12,7,78.00000
84570,1998,12,8,77.50000
84570,1998,12,9,77.50000
84570,1998,12,10,77.00000
84570,1998,12,11,78.00000
84570,1998,12,12,75.50000
84570,1998,12,13,79.00000
84570,1998,12,14,72.00000
84570,1998,12,15,67.50000
84570,1998,12,16,66.50000
84570,1998,12,17,65.00000
84570,1998,12,18,67.50000
84570,1998,12,19,75.50000
84570,1998,12,20,75.50000
84570,1998,12,21,77.00000
84570,1998,12,22,77.00000
84570,1998,12,23,76.50000
84570,1998,12,24,77.50000
84570,1998,12,25,77.00000
84570,1998,12,26,75.50000
84570,1998,12,27,73.50000
84570,1998,12,28,77.50000
84570,1998,12,29,75.00000
84570,1998,12,30,71.50000
84570,1998,12,31,71.50000
84570,1999,1,1,73.00000
84570,1999,1,2,77.50000
84570,1999,1,3,73.00000
84570,1999,1,4,64.50000
84570,1999,1,5,56.50000
84570,1999,1,6,59.00000
84570,1999,1,7,66.00000
84570,1999,1,8,70.00000
84570,1999,1,9,74.50000
84570,1999,1,10,68.50000
84570,1999,1,11,63.00000
84570,1999,1,12,67.00000
84570,1999,1,13,72.00000
84570,1999,1,14,73.50000
84570,1999,1,15,73.50000
84570,1999,1,16,73.50000
84570,1999,1,17,77.50000
84570,1999,1,18,76.00000
84570,1999,1,19,73.50000
84570,1999,1,20,74.00000
84570,1999,1,21,75.00000
84570,1999,1,22,78.00000
84570,1999,1,23,79.50000
84570,1999,1,24,72.00000
84570,1999,1,25,69.00000
84570,1999,1,26,73.50000
84570,1999,1,27,75.50000
84570,1999,1,28,77.00000
84570,1999,1,29,78.00000
84570,1999,1,30,77.00000
84570,1999,1,31,76.00000
84570,1999,2,1,77.00000
84570,1999,2,2,73.00000
84570,1999,2,3,75.50000
84570,1999,2,4,75.00000
84570,1999,2,5,74.50000
84570,1999,2,6,75.00000
84570,1999,2,7,75.00000
84570,1999,2,8,75.00000
84570,1999,2,9,73.00000
84570,1999,2,10,74.50000
84570,1999,2,11,76.00000
84570,1999,2,12,78.00000
84570,1999,2,13,69.50000
84570,1999,2,14,64.50000
84570,1999,2,15,68.50000
84570,1999,2,16,71.50000
84570,1999,2,17,76.00000
84570,1999,2,18,72.50000
84570,1999,2,19,75.00000
84570,1999,2,20,71.00000
84570,1999,2,21,67.50000
84570,1999,2,22,61.50000
84570,1999,2,23,62.00000
84570,1999,2,24,66.50000
84570,1999,2,25,66.50000
84570,1999,2,26,62.50000
84570,1999,2,27,67.50000
84570,1999,2,28,75.50000
84570,1999,2,29,-99.90000
84570,1999,3,1,67.50000
84570,1999,3,2,65.50000
84570,1999,3,3,70.50000
84570,1999,3,4,63.50000
84570,1999,3,5,68.50000
84570,1999,3,6,71.50000
84570,1999,3,7,71.00000
84570,1999,3,8,73.00000
84570,1999,3,9,73.00000
84570,1999,3,10,72.00000
84570,1999,3,11,69.00000
84570,1999,3,12,69.00000
84570,1999,3,13,77.00000
84570,1999,3,14,76.50000
84570,1999,3,15,71.50000
84570,1999,3,16,64.00000
84570,1999,3,17,72.00000
84570,1999,3,18,74.00000
84570,1999,3,19,73.50000
84570,1999,3,20,72.50000
84570,1999,3,21,75.50000
84570,1999,3,22,68.50000
84570,1999,3,23,69.50000
84570,1999,3,24,74.00000
84570,1999,3,25,75.00000
84570,1999,3,26,77.00000
84570,1999,3,27,70.50000
84570,1999,3,28,72.00000
84570,1999,3,29,77.50000
84570,1999,3,30,76.00000
84570,1999,3,31,78.00000
84570,1999,4,1,79.50000
84570,1999,4,2,79.50000
84570,1999,4,3,78.00000
84570,1999,4,4,79.50000
84570,1999,4,5,79.50000
84570,1999,4,6,79.50000
84570,1999,4,7,77.50000
84570,1999,4,8,76.50000
84570,1999,4,9,79.50000
84570,1999,4,10,80.50000
84570,1999,4,11,79.00000
84570,1999,4,12,77.50000
84570,1999,4,13,78.00000
84570,1999,4,14,77.00000
84570,1999,4,15,82.00000
84570,1999,4,16,82.00000
84570,1999,4,17,79.00000
84570,1999,4,18,69.00000
84570,1999,4,19,70.00000
84570,1999,4,20,75.00000
84570,1999,4,21,74.50000
84570,1999,4,22,80.00000
84570,1999,4,23,81.50000
84570,1999,4,24,80.00000
84570,1999,4,25,78.50000
84570,1999,4,26,81.00000
84570,1999,4,27,79.50000
84570,1999,4,28,81.00000
84570,1999,4,29,79.50000
84570,1999,4,30,78.50000
84570,1999,5,1,73.00000
84570,1999,5,2,73.50000
84570,1999,5,3,72.50000
84570,1999,5,4,76.00000
