date,population,population_2d,population_3d,precip,humidity,temp,windspeed,lw_avg_temp,lw_avg_humidity,lw_precip
2018_22,,11100000.0,12233333.333333334,0.0,78.88571428571429,28.285714285714285,23.685714285714287,26.804761904761904,80.33333333333333,91.55499999999998
2018_23,,13250000.0,14166666.666666666,0.094,77.60000000000001,28.385714285714283,21.32857142857143,27.385714285714286,81.03809523809524,91.63499999999998
2018_24,,15250000.0,14500000.0,58.442,80.2,28.25714285714286,27.085714285714285,28.309523809523807,78.8952380952381,58.53599999999999
2018_25,13175000.0,14500000.0,13933333.333333334,35.82,89.31428571428572,27.25714285714286,22.62857142857143,27.96666666666667,82.37142857142857,94.356
2018_26,13875000.0,12900000.0,13400000.0,8.528,79.60000000000001,29.114285714285717,22.585714285714285,28.209523809523812,83.03809523809524,102.78999999999999
2018_27,14075000.0,13600000.0,13700000.0,174.85399999999998,83.18571428571428,27.457142857142856,22.5,27.94285714285714,84.03333333333333,219.20199999999997
2018_28,14050000.0,14150000.0,13766666.666666666,14.41,79.14285714285714,28.814285714285713,20.557142857142857,28.461904761904762,80.64285714285714,197.79199999999997
2018_29,13525000.0,13450000.0,13300000.0,0.0,76.24285714285715,29.985714285714288,21.914285714285715,28.75238095238095,79.52380952380952,189.26399999999995
2018_30,13525000.0,13000000.0,13500000.0,0.0,68.72857142857143,30.271428571428572,19.271428571428572,29.69047619047619,74.7047619047619,14.409999999999972
2018_31,13575000.0,13750000.0,13900000.0,7.6899999999999995,75.85714285714286,28.557142857142857,24.571428571428573,29.604761904761904,73.60952380952381,7.689999999999971
2018_32,13600000.0,14350000.0,13566666.666666666,37.769,82.55714285714285,28.542857142857144,24.642857142857142,29.123809523809523,75.71428571428572,45.45899999999997
2018_33,13675000.0,13100000.0,12233333.333333334,0.229,79.32857142857142,29.5,23.671428571428574,28.866666666666664,79.24761904761904,45.68799999999997
2018_34,13425000.0,11250000.0,11000000.0,3.196,75.68571428571428,30.02857142857143,21.957142857142856,29.357142857142858,79.19047619047619,41.19399999999997
2018_35,12800000.0,10500000.0,10750000.0,18.299,85.02857142857144,28.0,21.514285714285712,29.176190476190474,80.01428571428572,21.723999999999972
2018_36,11800000.0,10875000.0,10750000.0,46.116,88.52857142857144,27.285714285714285,23.0,28.43809523809524,83.08095238095238,67.61099999999998
